자치구 행정동,골목_컨셉,갤러리_컨셉,음악_컨셉,행정동,한옥 개수,예술_컨셉
종로구 안국동,0.0,0.0,0.0,0,41.0,0.0
종로구 옥인동,0.0,0.0,0.0,0,33.0,0.0
종로구 와룡동,0.0,0.0,0.0,0,2.0,0.0
종로구 운니동,0.0,0.0,0.0,0,9.0,0.0
종로구 원서동,0.0,0.0,0.0,0,52.0,0.0
종로구 종로6가,0.0,0.0,0.0,0,4.0,0.0
종로구 창성동,0.0,0.0,0.0,0,13.0,0.0
종로구 창신동,0.0,0.0,0.0,0,12.0,0.0
종로구 체부동,0.0,0.0,0.0,0,84.0,0.0
종로구 통의동,0.0,0.0,0.0,0,22.0,0.0
종로구 통인동,0.0,0.0,0.0,0,41.0,0.0
종로구 필운동,0.0,0.0,0.0,0,22.0,0.0
종로구 혜화동,0.0,0.0,0.0,0,11.0,0.0
종로구 효자동,0.0,0.0,0.0,0,17.0,0.0
중구 중림동,0.0,0.0,0.0,0,1.0,0.0
강남구 수서동,0.0,0.0,0.0,0,2.0,0.0
강서구 개화동,0.0,0.0,0.0,0,1.0,0.0
도봉구 방학동,0.0,0.0,0.0,0,1.0,0.0
동대문구 제기동,0.0,0.0,0.0,0,3.0,0.0
동대문구 청량리동,0.0,0.0,0.0,0,6.0,0.0
동대문구 회기동,0.0,0.0,0.0,0,1.0,0.0
동대문구 휘경동,0.0,0.0,0.0,0,1.0,0.0
마포구 노고산동,0.0,0.0,0.0,0,1.0,0.0
마포구 대흥동,0.0,0.0,0.0,0,1.0,0.0
마포구 신공덕동,0.0,0.0,0.0,0,1.0,0.0
서대문구 냉천동,0.0,0.0,0.0,0,1.0,0.0
서대문구 북아현동,0.0,0.0,0.0,0,3.0,0.0
서대문구 옥천동,0.0,0.0,0.0,0,3.0,0.0
서대문구 천연동,0.0,0.0,0.0,0,7.0,0.0
서대문구 충정로3가,0.0,0.0,0.0,0,2.0,0.0
성동구 홍익동,0.0,0.0,0.0,0,2.0,0.0
성북구 동선동3가,0.0,0.0,0.0,0,4.0,0.0
성북구 동소문동1가,0.0,0.0,0.0,0,1.0,0.0
성북구 동소문동2가,0.0,0.0,0.0,0,5.0,0.0
성북구 동소문동6가,0.0,0.0,0.0,0,6.0,0.0
성북구 보문동1가,0.0,0.0,0.0,0,1.0,0.0
성북구 보문동2가,0.0,0.0,0.0,0,1.0,0.0
성북구 보문동3가,0.0,0.0,0.0,0,1.0,0.0
성북구 보문동5가,0.0,0.0,0.0,0,3.0,0.0
성북구 보문동6가,0.0,0.0,0.0,0,2.0,0.0
성북구 보문동7가,0.0,0.0,0.0,0,3.0,0.0
성북구 삼선동2가,0.0,0.0,0.0,0,1.0,0.0
성북구 삼선동4가,0.0,0.0,0.0,0,3.0,0.0
성북구 안암동1가,0.0,0.0,0.0,0,2.0,0.0
성북구 안암동2가,0.0,0.0,0.0,0,1.0,0.0
성북구 정릉동,0.0,0.0,0.0,0,6.0,0.0
성북구 하월곡동,0.0,0.0,0.0,0,2.0,0.0
영등포구 당산동1가,0.0,0.0,0.0,0,1.0,0.0
영등포구 신길동,0.0,0.0,0.0,0,1.0,0.0
영등포구 영등포동4가,0.0,0.0,0.0,0,1.0,0.0
용산구 원효로1가,0.0,0.0,0.0,0,2.0,0.0
