name,add,real_add,행정동,price,총층수,1층포함여부,평수(㎡),대관단위(시간),총평수,수용인원수,시간당대관료,평당가격
[메가박스 이수 팝업] 상영관 복도,서울 동작구,서울 동작구 동작대로 89,,1000000,1,0,150,23,150,50,43478.26087,289.8550725
[메가박스 이수 팝업] 로비,서울 동작구,서울 동작구 동작대로 89,,1000000,1,0,150,23,150,50,43478.26087,289.8550725
[메가박스 센트럴 팝업] 카페 라운지,서울 서초구,서울 서초구 신반포로 194,반포동,1000000,1,0,150,23,150,50,43478.26087,289.8550725
[메가박스 성수 팝업] 로비,서울 성동구,서울 성동구 왕십리로 50 3층 메가박스 성수,,1000000,1,0,150,23,150,50,43478.26087,289.8550725
[메가박스 강남 팝업] 상영관 복도,서울 서초구,서울 서초구 서초대로77길 3,반포동,1000000,4,0,150,23,600,200,43478.26087,72.46376812
건대입구 레스토랑,서울 광진구,서울 광진구 능동로 139 3층 송빠,화양동,0,1,0,69,24,69,23,1200000,17391.30435
151빌딩 홍대 연남,서울 마포구,서울 마포구 성미산로 151-1,,5650000,4,1,536,24,2144,715,235416.6667,109.8025498
연남장 홍대,서울 서대문구,서울 서대문구 연희로5길 22,연희동,5000000,2,1,300,24,600,200,208333.3333,347.2222222
스테이블 신촌,서울 마포구,서울 마포구 신촌로16길 29,,1000000,1,1,78.8,24,78.8,26,41666.66667,528.7648054
기록상점 홍대 연남,서울 마포구,서울 마포구 성미산로29길 24-6,,1500000,4,1,252.6,24,1010.4,337,62500,61.85669042
이야이야앤프랜즈 압구정 도산,서울 강남구,서울 강남구 도산대로51길 22,압구정동,8000000,4,1,592,24,2368,789,333333.3333,140.7657658
연남동 팝업스토어 -B급 프로젝트-,서울 마포구,서울 마포구 성미산로29길 39 2층,,0,1,0,26.4,24,26.4,9,1200000,45454.54545
비저블스토리지,서울 성동구,서울 성동구 성덕정길 68 (성수동1가 308-2),성수1가1동,2500000,5,1,298,23,1490,497,108695.6522,72.95010213
디퍼,서울 용산구,서울 용산구 이태원로27가길 8 지하1층,이태원1동,5000000,1,0,200,24,200,67,208333.3333,1041.666667
홍대 연남 작심 통건물,서울 마포구,서울 마포구 양화로23길 4-5,,3000000,5,1,260,24,1300,433,125000,96.15384615
츄톡 홍대 연남,서울 마포구,서울 마포구 연희로1길 22,,800000,4,1,76,24,304,101,33333.33333,109.6491228
서울숲 팝업 카페 대관,서울 성동구,"서울 성동구 서울숲2길 24-7 1,2층",성수1가2동,500000,2,1,188.5,12,377,126,41666.66667,110.5216622
한남동 이국적이고 모던한 대형 라운지펍 비스트로 멕시,서울 용산구,서울 용산구 이태원로 191 2층,이태원1동,9000000,1,0,564,24,564,188,375000,664.893617
케이브118 청담,서울 강남구,서울 강남구 도산대로81길 13 지하 1층,청담동,1000000,1,0,140,24,140,47,41666.66667,297.6190476
한남동 유엔빌리지 전시 팝업 공간,서울 용산구,서울 용산구 유엔빌리지길 24 1층,한남동,700000,1,1,70,23,70,23,30434.78261,434.7826087
메타그라운드 성수,서울 성동구,서울 성동구 왕십리로 50 4층 메타그라운드,,2500000,1,0,330,23,330,110,108695.6522,329.3807642
팝업 전시 모임 다목적 대여공간,서울 중구,서울 중구 충무로2길 32-12 2층 체크책,광희동,15000,1,0,43,1,43,14,15000,348.8372093
큐비스토리 성수,서울 성동구,서울 성동구 아차산로 83 F2빌딩 1층,성수2가3동,1500000,1,1,100,24,100,33,62500,625
플롭피자 연남,서울 마포구,서울 마포구 동교로38길 27-9,,3000000,1,1,200,24,200,67,125000,625
카페드댕 연남,서울 마포구,"서울 마포구 동교로 269 1층, 2층",,2500000,2,1,174.8,24,349.6,117,104166.6667,297.9595728
어쿠스틱 연남,서울 마포구,서울 마포구 동교로29길 40 1층,,1600000,1,1,76,24,76,25,66666.66667,877.1929825
센트럴사이트 연남,서울 마포구,서울 마포구 연희로 29-1,,1000000,3,1,141,24,423,141,41666.66667,98.50275808
세인트메리 연남,서울 마포구,서울 마포구 연희로1길 45,,1500000,1,1,38,24,38,13,62500,1644.736842
미로플라워 연남,서울 마포구,서울 마포구 연희로1길 22,,2000000,1,1,43,24,43,14,83333.33333,1937.984496
